,Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,Short name,lat,lon,Size,Distance to Station 2020-2021,Nearest Station 2020-2021,Modelled System Strength 2020-2021,Distance to Station 2029-2030,Nearest Station 2029-2030,Modelled System Strength 2029-2030,Distance to Station 2034-2035,Nearest Station 2034-2035,Modelled System Strength 2034-2035
130,Sunraysia Solar Project Pty Ltd as trustee for the Sunraysia Solar Project Trust,Sunraysia Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-104,1.923,Y,SUNRSF1,228,200,40,Sunraysia ,-34.81,143.49,1,4.99,BALRANALD 220 kV,Very poor,4.99,BALRANALD 220 kV,Very poor,4.99,BALRANALD 220 kV,Very poor
131,Susan River Solar Pty Ltd as Trustee for Susan River Solar Trust,Susan River Solar Farm,QLD1,Generator,Market ,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-49,1.74,N,SRSF1,85.26,75,255,Susan River ,-25.4198025,152.8411215,1,66.72,TEEBAR CREEK 275 kV,High,66.72,TEEBAR CREEK 275 kV,High,66.72,TEEBAR CREEK 275 kV,High
132,Vena Energy Services (Australia) Pty Ltd,"Tailem Bend Solar Project 1, Units 1-54",SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-54,1.795,Y,TBSF1,108,95,19,Tailem Bend ,-35.254046,139.4530263,1,4.03,TAILEM BEND 275 kV,Neutral,4.03,TAILEM BEND 275 kV,Neutral,4.03,TAILEM BEND 275 kV,Neutral
133,Taralga Wind Farm Nominees No 2 Pty Ltd (ATF Taralga Wind Farm Operating Trust),Taralga Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-21,1.8,N,TARALGA1,106.8,106,180,Taralga ,-34.3993392,149.8202383,1,21.95,BANNABY 500 kV,High,21.95,BANNABY 500 kV,High,21.95,BANNABY 500 kV,High
134,Taralga Wind Farm Nominees No 2 Pty Ltd (ATF Taralga Wind Farm Operating Trust),Taralga Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,22-42,2,N,TARALGA1,-,-,-,Taralga ,-34.3993392,149.8202383,1,21.95,BANNABY 500 kV,High,21.95,BANNABY 500 kV,High,21.95,BANNABY 500 kV,High
135,Taralga Wind Farm Nominees No 2 Pty Ltd (ATF Taralga Wind Farm Operating Trust),Taralga Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,43-51,3,N,TARALGA1,-,-,-,Taralga ,-34.3993392,149.8202383,1,21.95,BANNABY 500 kV,High,21.95,BANNABY 500 kV,High,21.95,BANNABY 500 kV,High
136,AGL SA Generation Pty Limited,The Bluff Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-25,2.1,N,BLUFF1,52.5,53,30,The Bluff ,-28.0511111,152.4975,1,46.71,WARWICK 110 kV,Poor,46.71,WARWICK 110 kV,Poor,46.71,WARWICK 110 kV,Poor
137,Alinta Energy Retail Sales Pty Ltd,Timboon West Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Feb,3.6,Y,TIMWEST,7.2,7.2,0,Timboon West ,-38.53889,142.922725,1,34.03,TERANG 220 kV,Poor,34.03,TERANG 220 kV,Poor,34.03,TERANG 220 kV,Poor
138,Toora Wind Farm Pty Ltd,Toora Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Dec,1.75,Y,TOORAWF,21,21,,Toora ,-38.6647377,146.3243511,1,43.94,HAZELWOOD 220 kV,High,43.94,HAZELWOOD 220 kV,High,43.94,HAZELWOOD 220 kV,High
139,Diamond Energy Pty Ltd,Valdora Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1,15,Y,VALDORA1,15,15,0,Valdora ,-26.542975,152.998641,1,19.24,PALMWOODS 275 kV,High,19.24,PALMWOODS 275 kV,High,19.24,PALMWOODS 275 kV,High
140,The University of Queensland ,Warwick Solar Farm 1 ,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-24,1.33,Y,WARWSF1,39,32,7,Warwick ,-28.2163204,152.0327039,1,2.79,WARWICK 110 kV,Poor,2.79,WARWICK 110 kV,Poor,2.79,WARWICK 110 kV,Poor
141,The University of Queensland ,Warwick Solar Farm 2,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-24,1.33,Y,WARWSF2,39,32,7,Warwick ,-28.2163204,152.0327039,1,2.79,WARWICK 110 kV,Poor,2.79,WARWICK 110 kV,Poor,2.79,WARWICK 110 kV,Poor
142,Waterloo Wind Farm Pty Ltd,Waterloo Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-37,3,N,WATERLWF,130.8,130,27,Waterloo ,-33.9002762,151.2073137,1,2.15,HAYMARKET 330 kV,High,2.15,HAYMARKET 330 kV,High,2.15,HAYMARKET 330 kV,High
143,Waterloo Wind Farm Pty Ltd,Waterloo Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,38-43,3.3,N,WATERLWF,-,-,-,Waterloo ,-33.9002762,151.2073137,1,2.15,HAYMARKET 330 kV,High,2.15,HAYMARKET 330 kV,High,2.15,HAYMARKET 330 kV,High
144,AGL SA Generation Pty Limited,Wattle Point Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-55,1.65,N,WPWF,90.75,91,,Wattle Point ,-33.6207939,150.2303813,1,27.89,WALLERAWANG 330 kV,High,27.89,WALLERAWANG 330 kV,High,27.89,WALLERAWANG 330 kV,High
145,Pyrenees Wind Energy Development Pty Ltd,Waubra Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-128,1.5,N,WAUBRAWF,192,192,,Waubra ,-37.337312,143.631375,1,29.04,BALLARAT 220 kV,Very poor,29.04,BALLARAT 220 kV,Very poor,29.04,BALLARAT 220 kV,Very poor
146,Lightsource Australia SPV 4 Pty Ltd ,Wellington Solar Farm ,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-132,1.287,Y,WELLSF1 ,216,170,30,Wellington ,-35.3313152,139.3831595,1,11.98,TAILEM BEND 275 kV,Neutral,11.98,TAILEM BEND 275 kV,Neutral,11.98,TAILEM BEND 275 kV,Neutral
147,Wemen Asset Co Pty Ltd ATF Wemen Solar Unit Trust ,"Wemen Solar Farm, Units 1-39 ",VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-39,2.256,Y,WEMENSF1,97.5,88,90,Wemen ,-34.7813491,142.641575,1,10.75,WEMEN 220 kV,Very poor,10.75,WEMEN 220 kV,Very poor,10.75,WEMEN 220 kV,Poor
148,White Rock Wind Farm Pty Ltd,White Rock Wind and Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,71-78,2.75,Y,WRSF1,22,20,50,White Rock ,-34.4522708,137.3616704,1,64.16,DALRYMPLE 132 kV,Very poor,64.16,DALRYMPLE 132 kV,Very poor,64.16,DALRYMPLE 132 kV,Poor
149,White Rock Wind Farm Pty Ltd,White Rock Wind and Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-70,2.5,Y,WRWF1,175,172,50,White Rock ,-34.4522708,137.3616704,1,64.16,DALRYMPLE 132 kV,Very poor,64.16,DALRYMPLE 132 kV,Very poor,64.16,DALRYMPLE 132 kV,Poor
150,Whitsunday Solar Farm Pty Ltd,Whitsunday Solar Farm,QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-23,2.5,Y,WHITSF1,57.5,56,20,Whitsunday ,-20.6939435,147.7217804,1,22.36,STRATHMORE 275 kV,Poor,22.36,STRATHMORE 275 kV,Very poor,22.36,STRATHMORE 275 kV,Very poor
151,Willogoleche Power Pty Ltd as Trustee for the Willogoleche Operating Trust ,Willogoleche Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-24,3.83,Y,WGWF1,91.92,119,50,Willogoleche ,-33.393,138.848,1,6.5,WILLOGOLECHE 275 kV,Very poor,6.5,WILLOGOLECHE 275 kV,Poor,6.5,WILLOGOLECHE 275 kV,Poor
152,Willogoleche Power Pty Ltd as Trustee for the Willogoleche Operating Trust ,Willogoleche Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,25-32,3.43,Y,WGWF1,27.44,119,50,Willogoleche ,-33.393,138.848,1,6.5,WILLOGOLECHE 275 kV,Very poor,6.5,WILLOGOLECHE 275 kV,Poor,6.5,WILLOGOLECHE 275 kV,Poor
153,Windy Hill Wind Farm Pty Ltd,Windy Hill Wind Farm,QLD1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-20,0.6,Y,WHILL1,12,12,,Windy Hill,-37.75191235,144.9196079,1,5.55,WEST MELBOURNE 220 kV,High,5.55,WEST MELBOURNE 220 kV,High,5.55,WEST MELBOURNE 220 kV,High
